tRF,gene,score
tRF-19-RK9P4PJZ,MAZ,Down
tRF-19-RK9P4PJZ,B3GAT3,Down
tRF-19-RK9P4PJZ,CHERP,Down
tRF-19-RK9P4PJZ,CSNK1D,Down
tRF-19-RK9P4PJZ,EWSR1,Down
tRF-19-RK9P4PJZ,RNPS1,Down
tRF-19-RK9P4PJZ,FAM168B,Down
tRF-19-RK9P4PJZ,FBRSL1,Down
tRF-19-RK9P4PJZ,MEF2D,Down
tRF-19-RK9P4PJZ,MIGA2,Down
tRF-19-RK9P4PJZ,MRPL55,Down
tRF-19-RK9P4PJZ,RPS3,Down
tRF-19-RK9P4PJZ,WDR74,Down
tRF-19-RK9P4PJZ,ADAM8,Down
tRF-19-RK9P4PJZ,AOC3,Down
tRF-19-RK9P4PJZ,BTBD2,Down
tRF-19-RK9P4PJZ,DBN1,Down
tRF-19-RK9P4PJZ,DMPK,Down
tRF-19-RK9P4PJZ,HSPB6,Down
tRF-19-RK9P4PJZ,LAMA3,Down
tRF-19-RK9P4PJZ,MAPK8IP3,Down
tRF-19-RK9P4PJZ,MED24,Down
tRF-19-RK9P4PJZ,MRPS2,Down
tRF-19-RK9P4PJZ,PCNX3,Down
tRF-19-RK9P4PJZ,PKN1,Down
tRF-19-RK9P4PJZ,RABL6,Down
tRF-19-RK9P4PJZ,REXO1,Down
tRF-19-RK9P4PJZ,SERF2,Down
tRF-19-RK9P4PJZ,STUB1,Down
tRF-19-RK9P4PJZ,WDR83OS,Down
tRF-19-RK9P4PJZ,ADGRL1,Down
tRF-19-RK9P4PJZ,AKAP1,Down
tRF-19-RK9P4PJZ,B4GALNT4,Down
tRF-19-RK9P4PJZ,DIDO1,Down
tRF-19-RK9P4PJZ,EPHB4,Down
tRF-19-RK9P4PJZ,GTF3C5,Down
tRF-19-RK9P4PJZ,HDAC7,Down
tRF-19-RK9P4PJZ,HERC2,Down
tRF-19-RK9P4PJZ,HES1,Down
tRF-19-RK9P4PJZ,HGS,Down
tRF-19-RK9P4PJZ,ID1,Down
tRF-19-RK9P4PJZ,ID3,Down
tRF-19-RK9P4PJZ,IVD,Down
tRF-19-RK9P4PJZ,KIFC2,Down
tRF-19-RK9P4PJZ,LETM1,Down
tRF-19-RK9P4PJZ,LRP10,Down
tRF-19-RK9P4PJZ,LRRC47,Down
tRF-19-RK9P4PJZ,LTBP3,Down
tRF-19-RK9P4PJZ,NACC2,Down
tRF-19-RK9P4PJZ,PIN1,Down
tRF-19-RK9P4PJZ,PLPPR2,Down
tRF-19-RK9P4PJZ,PTPRS,Down
tRF-19-RK9P4PJZ,RSBN1L,Down
tRF-19-RK9P4PJZ,SCAP,Down
tRF-19-RK9P4PJZ,SETD1A,Down
tRF-19-RK9P4PJZ,SF3A2,Down
tRF-19-RK9P4PJZ,SMAGP,Down
tRF-19-RK9P4PJZ,SPATA20,Down
tRF-19-RK9P4PJZ,SRRM2,Down
tRF-19-RK9P4PJZ,TBC1D10B,Down
tRF-19-RK9P4PJZ,TEX264,Down
tRF-19-RK9P4PJZ,TMEM189,Down
tRF-19-RK9P4PJZ,TMEM94,Down
tRF-19-RK9P4PJZ,VAMP2,Down
tRF-19-RK9P4PJZ,EIF5A,Up
tRF-19-RK9P4PJZ,SYNGR2,Up
tRF-19-RK9P4PJZ,TAGLN2,Up
tRF-19-RK9P4PJZ,CALR,Up
tRF-19-RK9P4PJZ,CERS2,Up
tRF-19-RK9P4PJZ,UBE2C,Up
tRF-19-RK9P4PJZ,ARHGDIA,Up
tRF-19-RK9P4PJZ,ATP6V0B,Up
tRF-19-RK9P4PJZ,DDOST,Up
tRF-19-RK9P4PJZ,PPIB,Up
tRF-19-RK9P4PJZ,PPIF,Up
tRF-19-RK9P4PJZ,PRPF8,Up
tRF-19-RK9P4PJZ,ACTN4,Up
tRF-19-RK9P4PJZ,LARP1,Up
tRF-19-RK9P4PJZ,MYH9,Up
tRF-19-RK9P4PJZ,PRRC2C,Up
tRF-19-RK9P4PJZ,PYCR1,Up
tRF-19-RK9P4PJZ,RAVER1,Up
tRF-19-RK9P4PJZ,SON,Up
tRF-19-RK9P4PJZ,SPINT1,Up
tRF-19-RK9P4PJZ,TGM2,Up
tRF-19-RK9P4PJZ,ASF1B,Up
tRF-19-RK9P4PJZ,BAX,Up
tRF-19-RK9P4PJZ,FN1,Up
tRF-19-RK9P4PJZ,FXYD5,Up
tRF-19-RK9P4PJZ,GTF3C4,Up
tRF-19-RK9P4PJZ,ITGB4,Up
tRF-19-RK9P4PJZ,KMT2D,Up
tRF-19-RK9P4PJZ,P4HB,Up
tRF-19-RK9P4PJZ,PRRC2B,Up
tRF-19-RK9P4PJZ,SIGMAR1,Up
tRF-19-RK9P4PJZ,SRM,Up
tRF-19-RK9P4PJZ,TMPPE,Up
tRF-19-RK9P4PJZ,TPP1,Up
tRF-19-RK9P4PJZ,TXNDC5,Up
tRF-19-RK9P4PJZ,ARID1A,Up
tRF-19-RK9P4PJZ,C4orf48,Up
tRF-19-RK9P4PJZ,CDK6,Up
tRF-19-RK9P4PJZ,CTSD,Up
tRF-19-RK9P4PJZ,DIAPH1,Up
tRF-19-RK9P4PJZ,DYNC1H1,Up
tRF-19-RK9P4PJZ,EFHD2,Up
tRF-19-RK9P4PJZ,GBF1,Up
tRF-19-RK9P4PJZ,HNRNPAB,Up
tRF-19-RK9P4PJZ,IFI30,Up
tRF-19-RK9P4PJZ,MKI67,Up
tRF-19-RK9P4PJZ,MSN,Up
tRF-19-RK9P4PJZ,PLAUR,Up
tRF-19-RK9P4PJZ,SEC13,Up
tRF-19-RK9P4PJZ,SEC24C,Up
tRF-19-RK9P4PJZ,SEMA7A,Up
tRF-19-RK9P4PJZ,SIRPA,Up
tRF-19-RK9P4PJZ,SLC1A5,Up
tRF-19-RK9P4PJZ,SNRNP200,Up
tRF-19-RK9P4PJZ,SPEN,Up
tRF-19-RK9P4PJZ,UBAP2L,Up
tRF-19-RK9P4PJZ,YIF1A,Up
tRF-19-D7M4O1J2,ELP5,Down
tRF-19-D7M4O1J2,FARSA,Down
tRF-24-S3M8309N0Y,EIF4G1,Down
tRF-24-S3M8309N0Y,ATRN,Down
tRF-24-S3M8309N0Y,DYNC1H1,Down
tRF-24-S3M8309N0Y,CFL1,Up
tRF-24-S3M8309N0Y,COX8A,Up
tRF-24-S3M8309N0Y,TMEM134,Up
tRF-24-S3M8309N0Y,MOGS,Uncertain
tRF-18-HSQSD2D2,KDELR1,Down
tRF-18-HSQSD2D2,BSG,Down
tRF-18-HSQSD2D2,CD2BP2,Down
tRF-18-HSQSD2D2,CEBPB,Down
tRF-18-HSQSD2D2,CTNNB1,Up
tRF-18-HSQSD2D2,NFIX,Up
tRF-18-HSQSD2D2,NUP210,Up
tRF-23-R29P4P9LDS,CKB,Down
tRF-23-R29P4P9LDS,COL6A1,Down
tRF-23-R29P4P9LDS,KIAA1522,Down
tRF-23-R29P4P9LDS,PLAUR,Up
tRF-18-XRPM46D2,ARHGEF39,Down
tRF-18-XRPM46D2,EPC1,Down
