miRNA,gene,score
hsa-miR-150-5p,MYB,0.936606309311073
hsa-miR-150-5p,ADIPOR2,0.886749456021721
hsa-miR-150-5p,DCAF6,0.88213307669634
hsa-miR-150-5p,ETF1,0.875333355871826
hsa-miR-150-5p,ZEB1,0.873597772233311
hsa-miR-150-5p,ENSA,0.85106004589353
hsa-miR-150-5p,MBD6,0.850927005528559
hsa-miR-150-5p,ZBTB4,0.847111824096634
hsa-miR-150-5p,FOXD3,0.845236949349361
hsa-miR-150-5p,KMT2A,0.844112849108864
hsa-miR-150-5p,NR2F2,0.835329961060058
hsa-miR-150-5p,SGMS1,0.830595570553781
hsa-miR-150-5p,HILPDA,0.829476375554503
hsa-miR-150-5p,UST,0.829275480702538
hsa-miR-150-5p,EGR2,0.823334809549807
hsa-miR-150-5p,PFN2,0.822604437514238
hsa-miR-150-5p,EIF4B,0.820665515572797
hsa-miR-150-5p,MBTD1,0.818960829013791
hsa-miR-150-5p,CPD,0.815533201299452
hsa-miR-150-5p,TADA1,0.811055638528262
hsa-miR-150-5p,IPO9,0.803773584287993
hsa-miR-150-5p,BASP1,0.803549934806044
hsa-miR-150-5p,CAST,0.800062557086402
hsa-miR-199a-3p,SERPINE2,0.922606507230922
hsa-miR-199a-3p,MAP3K4,0.920434007504013
hsa-miR-199a-3p,CDK17,0.91161572508897
hsa-miR-199a-3p,CELSR2,0.904183198936453
hsa-miR-199a-3p,QKI,0.892712203209443
hsa-miR-199a-3p,ADAMTSL3,0.89053338442204
hsa-miR-199a-3p,VAMP3,0.886466575759868
hsa-miR-199a-3p,ITGB8,0.88506093483693
hsa-miR-199a-3p,KLHL3,0.884091366961567
hsa-miR-199a-3p,KATNBL1,0.882850660172331
hsa-miR-199a-3p,CD2AP,0.879845515266131
hsa-miR-199a-3p,ERBB4,0.878169942287008
hsa-miR-199a-3p,G3BP2,0.877064954207675
hsa-miR-199a-3p,GNA12,0.875374322276696
hsa-miR-199a-3p,KTN1,0.872720579488758
hsa-miR-199a-3p,NOVA1,0.872389546722125
hsa-miR-199a-3p,SCD,0.869307868736085
hsa-miR-199a-3p,BCAR3,0.867136291385138
hsa-miR-199a-3p,ZBTB18,0.867129350177636
hsa-miR-199a-3p,ADAMTS3,0.865750380882587
hsa-miR-199a-3p,PAWR,0.863886569214794
hsa-miR-199a-3p,VLDLR,0.863405997303714
hsa-miR-199a-3p,ACVR2A,0.863388176985964
hsa-miR-199a-3p,NAA25,0.861969681076199
hsa-miR-199a-3p,NID2,0.85407716124719
hsa-miR-199a-3p,ZHX1,0.851924216484545
hsa-miR-199a-3p,KDM6A,0.851413756410742
hsa-miR-199a-3p,ITPK1,0.849123871314859
hsa-miR-199a-3p,MEIS2,0.848279522518054
hsa-miR-199a-3p,PON2,0.847381160868246
hsa-miR-199a-3p,FXR1,0.846518280487979
hsa-miR-199a-3p,CISD2,0.84570192795894
hsa-miR-199a-3p,RB1,0.84381614514433
hsa-miR-199a-3p,FAM199X,0.843448888824574
hsa-miR-199a-3p,MTOR,0.843430321881402
hsa-miR-199a-3p,ETNK1,0.838516085334981
hsa-miR-199a-3p,MAP3K5,0.834829332477357
hsa-miR-199a-3p,MCFD2,0.832836029185559
hsa-miR-199a-3p,PPP2R5E,0.832210394894766
hsa-miR-199a-3p,PRKCE,0.831890722342946
hsa-miR-199a-3p,SINHCAF,0.831865577527167
hsa-miR-199a-3p,TSPAN3,0.831831425159249
hsa-miR-199a-3p,APLP2,0.829634142459617
hsa-miR-199a-3p,ZNF217,0.82915415189783
hsa-miR-199a-3p,NEDD4,0.828807820687965
hsa-miR-199a-3p,AK4,0.828801403825545
hsa-miR-199a-3p,CFL2,0.828599114099156
hsa-miR-199a-3p,ARL15,0.826984681206498
hsa-miR-199a-3p,TAB2,0.825187658335219
hsa-miR-199a-3p,ARHGEF3,0.824824432436511
hsa-miR-199a-3p,TGIF2,0.824628102353266
hsa-miR-199a-3p,PLEKHA3,0.823906473373592
hsa-miR-199a-3p,CELF2,0.823773472730728
hsa-miR-199a-3p,DEPDC1B,0.821196449045727
hsa-miR-199a-3p,PAK4,0.820421954110705
hsa-miR-199a-3p,SLC6A5,0.817474602233451
hsa-miR-199a-3p,FUBP1,0.816798142843769
hsa-miR-199a-3p,LRP2,0.816428031131539
hsa-miR-199a-3p,SDC2,0.813636654545911
hsa-miR-199a-3p,RNGTT,0.813336955673106
hsa-miR-199a-3p,RUNX1,0.812941119353644
hsa-miR-199a-3p,YWHAE,0.81089053982191
hsa-miR-199a-3p,TACC2,0.809985693025502
hsa-miR-199a-3p,PNRC1,0.809569127636501
hsa-miR-199a-3p,IL13RA1,0.808990780654901
hsa-miR-199a-3p,C9orf40,0.807972207395861
hsa-miR-199a-3p,FBXW11,0.8076069955893
hsa-miR-199a-3p,DCBLD2,0.806581674754876
hsa-miR-199a-3p,RBM47,0.805194664328302
hsa-miR-199a-3p,RAP2A,0.804742499743435
hsa-miR-199a-3p,LRRC1,0.804740554131969
hsa-miR-199a-3p,PPP2R2A,0.804099109686027
hsa-miR-199a-3p,SLC20A2,0.80381366109568
hsa-miR-199a-3p,WDR47,0.803359326892615
hsa-miR-199a-3p,CCDC88A,0.802940943561191
hsa-miR-199a-3p,FGF7,0.802177058792774
hsa-miR-199a-3p,IREB2,0.801835257092158
hsa-miR-199a-3p,EDEM3,0.801774822204807
hsa-miR-199a-3p,TAOK1,0.801377733256608
hsa-miR-199a-3p,LPAR4,0.801304964096282
hsa-miR-223-3p,SP3,0.914905760404516
hsa-miR-223-3p,CDK17,0.907262729359857
hsa-miR-223-3p,FBXW7,0.907135527063827
hsa-miR-223-3p,FBXO8,0.903495757214122
hsa-miR-223-3p,RHOB,0.897277773462152
hsa-miR-223-3p,IL6ST,0.896838713692094
hsa-miR-223-3p,ACVR2A,0.896458934651922
hsa-miR-223-3p,CRIM1,0.893974707794079
hsa-miR-223-3p,SIAH1,0.893611807248324
hsa-miR-223-3p,FOXO1,0.888504549739444
hsa-miR-223-3p,ACSL3,0.883477980091271
hsa-miR-223-3p,HSP90B1,0.882074776893285
hsa-miR-223-3p,NFIB,0.881866482719527
hsa-miR-223-3p,KPNA3,0.880417284173124
hsa-miR-223-3p,RASA1,0.879706890411696
hsa-miR-223-3p,SLC4A4,0.876166367219489
hsa-miR-223-3p,ATP2B1,0.875738714332879
hsa-miR-223-3p,MYH10,0.86403773986307
hsa-miR-223-3p,LMO2,0.862296132042497
hsa-miR-223-3p,ANKRD17,0.860988240466227
hsa-miR-223-3p,SCAF8,0.86000754842992
hsa-miR-223-3p,RRAS2,0.855946160576092
hsa-miR-223-3p,ATP7A,0.855035942523611
hsa-miR-223-3p,ARMCX1,0.854426054388794
hsa-miR-223-3p,RUBCNL,0.853868482312084
