"","source_name","ID","source_num"
"1","tRF-17-078SUXJ","tRF",0
"2","tRF-17-09Z51UJ","tRF",1
"3","tRF-17-7ZP33XJ","tRF",2
"4","tRF-17-P2PSSEK","tRF",3
"5","tRF-17-S7PVRSJ","tRF",4
"6","tRF-17-VNZDBQ5","tRF",5
"7","tRF-18-IRY7ZZDV","tRF",6
"8","tRF-19-0M0RHBFV","tRF",7
"9","tRF-20-BQ8BB2S1","tRF",8
"10","tRF-20-XOUZDZN1","tRF",9
"11","tRF-21-2FYOB015D","tRF",10
"12","tRF-21-2NBX7ZOOD","tRF",11
"13","tRF-21-UF04QZ45D","tRF",12
"14","tRF-22-2NBX7ZOO2","tRF",13
"15","tRF-22-7OFIZ9WUJ","tRF",14
"16","tRF-23-2IUIX1Q7DR","tRF",15
"17","tRF-23-2NBX7ZOODI","tRF",16
"18","tRF-23-M2OSRNLNDJ","tRF",17
"19","tRF-24-2IUIX1Q7HV","tRF",18
"20","tRF-24-2NBX7ZOO1E","tRF",19
"21","tRF-24-54RNZFS72V","tRF",20
"22","tRF-24-690M0RHBFV","tRF",21
"23","tRF-24-O1B54ZUPJR","tRF",22
"24","tRF-24-RI2Q2RJOE1","tRF",23
"25","tRF-24-RZDMKNR7EV","tRF",24
"26","tRF-24-SLDPUSYDKJ","tRF",25
"27","tRF-25-2NBX7ZOOJ9","tRF",26
"28","tRF-25-5UB1ZZK0O5","tRF",27
"29","tRF-25-IBB7Z92K01","tRF",28
"30","tRF-25-O1B54ZUPX1","tRF",29
"31","tRF-25-RI2Q2RJO01","tRF",30
"32","tRF-26-5UB1ZZK0O5D","tRF",31
"33","tRF-26-NRDXEPZY0DB","tRF",32
"34","tRF-27-NRDXEPZY0DI","tRF",33
"35","tRF-28-5EOB3ZY61DV","tRF",34
"36","tRF-28-5Z2IUIX1Q7DR","tRF",35
"37","tRF-28-NRDXEPZY0DDE","tRF",36
"38","tRF-28-UEVUUMHNU6V","tRF",37
"39","SLC12A2","Gene",38
"40","RORA","Gene",39
"41","JAK2","Gene",40
"42","LIFR","Gene",41
"43","SLC5A7","Gene",42
"44","BMP2","Gene",43
"45","STAT5A","Gene",44
"46","DYRK1A","Gene",45
"47","BMPER","Gene",46
"48","STAT5B","Gene",47
"49","CHRM5","Gene",48
"50","BMPR2","Gene",49
"51","SRSF12","Gene",50
"52","CHRNA5","Gene",51
"53","NKX2-1","Gene",52
"54","IL6R","Gene",53
"55","ARNTL2","Gene",54
"56","BMPR1A","Gene",55
"57","BMPR1B","Gene",56
"58","NR1D2","Gene",57
"59","COLQ","Gene",58
"60","CHRNB2","Gene",59
"61","LHX6","Gene",60
"62","IL6ST","Gene",61
"63","CLOCK","Gene",62
"64","RORC","Gene",63
"65","STAT3","Gene",64
"66","NPAS2","Gene",65
"67","CHRM2","Gene",66
"68","CNTFR","Gene",67
"69","SRSF6","Gene",68
"70","GPCPD1","Gene",69
"71","BMP3","Gene",70
"72","SRSF7","Gene",71
"73","LHX8","Gene",72
"74","SRSF10","Gene",73
"75","NTRK2","Gene",74
"76","CHRNA10","Gene",75
"77","CHRNA3","Gene",76
"78","ISL1","Gene",77
"79","CHRNA4","Gene",78
"80","CHRM1","Gene",79
"81","RORB","Gene",80
"82","SRSF1","Gene",81
"83","SRSF2","Gene",82
"84","CHRM3","Gene",83
"85","BMP2K","Gene",84
"86","LIF","Gene",85
"87","STAT1","Gene",86
"88","BCHE","Gene",87
"89","IL6","Gene",88
"90","SRSF8","Gene",89
"91","CHRNA7","Gene",90
"92","HNRNPH1","Gene",91
"93","GBX2","Gene",92
"94","CHRNA2","Gene",93
"95","CHRNA9","Gene",94
"96","BMP4","Gene",95
"97","BDNF","Gene",96
"98","SRSF11","Gene",97
"99","BMP6","Gene",98
"100","hsa-miR-8485","miR",99
"101","hsa-miR-92a-3p","miR",100
"102","hsa-miR-126-5p","miR",101
"103","hsa-miR-23b-3p","miR",102
"104","hsa-miR-144-3p","miR",103
"105","hsa-miR-484","miR",104
"106","hsa-miR-4284","miR",105
"107","hsa-miR-17-5p","miR",106
"108","hsa-miR-20a-5p","miR",107
"109","hsa-miR-19a-3p","miR",108
"110","hsa-miR-23a-3p","miR",109
"111","hsa-miR-30e-5p","miR",110
"112","hsa-miR-19b-3p","miR",111
"113","hsa-miR-32-5p","miR",112
"114","hsa-miR-30d-5p","miR",113
"115","hsa-miR-93-5p","miR",114
