,source_name,ID,source_num,Gene_sub_group
77,SLC5A7,Gene,54,Core
87,BCHE,Gene,55,Core
110,COLQ,Gene,56,Core
55,CHRNB2,Gene,57,Receptor
60,CHRNA10,Gene,58,Receptor
62,CHRNA3,Gene,59,Receptor
66,CHRNA4,Gene,60,Receptor
67,CHRM1,Gene,61,Receptor
79,CHRM2,Gene,62,Receptor
80,CHRM3,Gene,63,Receptor
91,CHRNA7,Gene,64,Receptor
94,CHRNA2,Gene,65,Receptor
95,CHRNA9,Gene,66,Receptor
98,CHRNA5,Gene,67,Receptor
106,CHRM5,Gene,68,Receptor
58,NTRK2,Gene,69,Neurotrophic Receptor
56,IL6ST,Gene,70,Neurokine Receptor
68,IL6R,Gene,71,Neurokine Receptor
71,LIFR,Gene,72,Neurokine Receptor
114,CNTFR,Gene,73,Neurokine Receptor
100,BDNF,Gene,74,Neurotrophic Factor
83,LIF,Gene,75,Neurokine
88,IL6,Gene,76,Neurokine
64,ISL1,Gene,77,Development
65,LHX8,Gene,78,Development
93,GBX2,Gene,79,Development
107,NKX2-1,Gene,80,Development
111,LHX6,Gene,81,Development
74,DYRK1A,Gene,82,Extended
84,SLC12A2,Gene,83,Extended
86,GPCPD1,Gene,84,Extended
92,HNRNPH1,Gene,85,Extended
59,SRSF6,Gene,86,Splicing
70,SRSF1,Gene,87,Splicing
75,SRSF12,Gene,88,Splicing
76,SRSF10,Gene,89,Splicing
78,SRSF2,Gene,90,Splicing
81,SRSF7,Gene,91,Splicing
89,SRSF8,Gene,92,Splicing
101,SRSF11,Gene,93,Splicing
63,STAT5B,Gene,94,Differentiation
85,STAT1,Gene,95,Differentiation
90,STAT3,Gene,96,Differentiation
102,STAT5A,Gene,97,Differentiation
103,JAK2,Gene,98,Differentiation
73,BMPR2,Gene,99,BMP
82,BMP2K,Gene,100,BMP
96,BMPR1B,Gene,101,BMP
97,BMP2,Gene,102,BMP
99,BMP4,Gene,103,BMP
104,BMP6,Gene,104,BMP
105,BMPER,Gene,105,BMP
109,BMPR1A,Gene,106,BMP
115,BMP3,Gene,107,BMP
57,NR1D2,Gene,108,Circadian
61,CLOCK,Gene,109,Circadian
69,RORB,Gene,110,Circadian
72,RORA,Gene,111,Circadian
108,ARNTL2,Gene,112,Circadian
112,RORC,Gene,113,Circadian
113,NPAS2,Gene,114,Circadian
